case_id,domain,ticker,decision_date,task_type,market,horizons,source_config,synthetic,paper_ready,metadata
XOM_2020_03_31,oil,XOM,2020-03-31,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
XOM_2020_06_30,oil,XOM,2020-06-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
XOM_2020_09_30,oil,XOM,2020-09-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
XOM_2020_12_31,oil,XOM,2020-12-31,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
XOM_2021_03_31,oil,XOM,2021-03-31,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
XOM_2021_06_30,oil,XOM,2021-06-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
XOM_2021_09_30,oil,XOM,2021-09-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
XOM_2021_12_31,oil,XOM,2021-12-31,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
XOM_2022_03_31,oil,XOM,2022-03-31,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
XOM_2022_06_30,oil,XOM,2022-06-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
XOM_2022_09_30,oil,XOM,2022-09-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
XOM_2022_12_30,oil,XOM,2022-12-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
XOM_2023_03_31,oil,XOM,2023-03-31,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
XOM_2023_06_30,oil,XOM,2023-06-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
XOM_2023_09_29,oil,XOM,2023-09-29,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
XOM_2023_12_29,oil,XOM,2023-12-29,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
XOM_2024_03_28,oil,XOM,2024-03-28,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
XOM_2024_06_28,oil,XOM,2024-06-28,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
XOM_2024_09_30,oil,XOM,2024-09-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
XOM_2024_12_31,oil,XOM,2024-12-31,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
CVX_2020_03_31,oil,CVX,2020-03-31,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
CVX_2020_06_30,oil,CVX,2020-06-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
CVX_2020_09_30,oil,CVX,2020-09-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
CVX_2020_12_31,oil,CVX,2020-12-31,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
CVX_2021_03_31,oil,CVX,2021-03-31,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
CVX_2021_06_30,oil,CVX,2021-06-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
CVX_2021_09_30,oil,CVX,2021-09-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
CVX_2021_12_31,oil,CVX,2021-12-31,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
CVX_2022_03_31,oil,CVX,2022-03-31,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
CVX_2022_06_30,oil,CVX,2022-06-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
CVX_2022_09_30,oil,CVX,2022-09-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
CVX_2022_12_30,oil,CVX,2022-12-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
CVX_2023_03_31,oil,CVX,2023-03-31,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
CVX_2023_06_30,oil,CVX,2023-06-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
CVX_2023_09_29,oil,CVX,2023-09-29,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
CVX_2023_12_29,oil,CVX,2023-12-29,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
CVX_2024_03_28,oil,CVX,2024-03-28,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
CVX_2024_06_28,oil,CVX,2024-06-28,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
CVX_2024_09_30,oil,CVX,2024-09-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
CVX_2024_12_31,oil,CVX,2024-12-31,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
COP_2020_03_31,oil,COP,2020-03-31,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
COP_2020_06_30,oil,COP,2020-06-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
COP_2020_09_30,oil,COP,2020-09-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
COP_2020_12_31,oil,COP,2020-12-31,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
COP_2021_03_31,oil,COP,2021-03-31,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
COP_2021_06_30,oil,COP,2021-06-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
COP_2021_09_30,oil,COP,2021-09-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
COP_2021_12_31,oil,COP,2021-12-31,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
COP_2022_03_31,oil,COP,2022-03-31,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
COP_2022_06_30,oil,COP,2022-06-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
COP_2022_09_30,oil,COP,2022-09-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
COP_2022_12_30,oil,COP,2022-12-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
COP_2023_03_31,oil,COP,2023-03-31,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
COP_2023_06_30,oil,COP,2023-06-30,investment,US,"[21, 63, 126, 252]",configs/live_experiments/live_case_panel_2020_2024.yaml,False,False,"{""experiment_id"": ""live_panel_2020_2024"", ""notes"": [""Historical panel scaffold for future live quantitative experiment."", ""API snapshots are required before performance claims.""]}"
